Name,EMI,Price,Mileage,ENGINE,TRANSMISSION,FUEL TYPE,Price range,Length (mm),Wheelbase (mm),Boot Space (L),Width (mm),Turning Radius (m),Fuel Capacity (L),Height (mm),Ground Clearance (mm),Colors,Seating Capacity,Displacement (cc),Peak Power,Peak Torque,Color Varients,Top_Speed
Porsche Macan,"1,18,950",69.98 Lakh,14 kmpl ,1984 to 2995 cc ,Automatic ,Petrol ,₹ 69.98 - 85.01 Lakh ,4696,2807,954,1923,11.96,75,1624,198," Agate Grey, Black, Carmine Red, Carrara White, Crayon, Dolomite Silver, Jet Black, Mahogany, Mamba Green, Miami Blue, Night Blue, Sapphire Blue, Volcano Grey, White ",5,1984, 251 BHP@5000 RPM,370 NM @1600 RPM,24,254 Km/h
Porsche 718,"1,45,262",85.46 Lakh,9 kmpl ,1988 to 3995 cc ,"Automatic, Manual ",Petrol ,₹ 85.46 Lakh - 1.64 Crore ,4379,2475,127,1801,5.5,54,1281,128," Agate Grey, Black, Carmine Red, Carrara White, Crayon, GT Silver, Guards Red, Jet Black, Lava Orange, Miami Blue, Night Blue, Racing Yellow, White ",2,1988, 295 BHP@6500 RPM,380 NM @1950 RPM,23,275km/h
Porsche Cayenne,"2,02,272",1.2 Crore,9 - 40 kmpl ,2995 to 3996 cc ,Automatic ,Petrol ,₹ 1.2 - 1.93 Crore ,4918,2895,645,1983,5.3,75,1696,210," Biscay Blue, Black, Carrara White, Jet Black , Lava Orange, Mahogany , Moonlight Blue , Quartzite Grey , Rhodium Silver , White ",5,2995, 456 BHP@5250 RPM,700 NM ,22,286 Km/h
Porsche Cayenne Coupe,"2,24,165",1.32 Crore,10.75 kmpl,2995 to 3996 cc ,Automatic ,Petrol ,₹ 1.32 - 1.98 Crore ,4931,2895,625,2194,5.1,75,1676,190," Biskay Blue , Carrara White, Crayon, Dolomite Silver, Jet Black, Lava Orange, Mahogany, Moonlight Blue, Quarzite Grey, White ",4,2995, 335 BHP@5300 RPM,450 NM @1340 RPM,18,286 Km/h
Porsche Panamera,"2,45,599",1.44 Crore,8-37 kmpl,2894 to 4806 cc ,Automatic ,Petrol ,₹ 1.44 - 2.43 Crore ,5049,2950,500,1937, - ,75,1423,133," Amethyst, Aventurine Green, Burgundy Red, Carmine Red, Carrara White, Cherry, Crayon, Dolomite Silver, GT Silver, Gentian Blue, Jet Black, Mahogany, Mamba Green, Papaya, Truffle Brown, Volcano Grey, White ",4,2894, 326 BHP@5400 RPM,450 NM @1750 RPM,28,310 Km/h
Porsche 911,"2,38,346",1.64 Crore,9 - 12 kmpl ,2981 to 3745 cc ,"Automatic, Manual ",Petrol ,₹ 1.64 - 3.08 Crore ,4519,2450,132,1852, - ,64,1300,109," Agate Grey, Aventurine Green, Black, Carmine Red, Carrara White, Crayon, Dolomite Silver, GT Silver, Gentian Blue, Guards Red, Jet Black, Lava Orange, Miami Blue, Night Blue, Python Green, Racing Yellow, White ",4,2981, 380 BHP@6500 RPM,450 NM @1950 RPM,31,330 Km/h
Audi Q2,"59,475",34.99 Lakh,15 kmpl,1984 cc ,Automatic ,Petrol ,₹ 34.99 - 48.89 Lakh ,4318,2593,355,1805, - ,55,1548,200," Arabian Blue Crystal, Daytona Gray Pearl Effect, Floret Silver, Ibis White, Mythos Black, Nano Gray, Quantum Gray, Tango Red ",5,1984, 187 BHP@4200 RPM,320 NM @1500 RPM,19,228 Km/h
Audi A4,"71,968",42.34 Lakh,12.3 kmpl,1984 cc ,Automatic ,Petrol ,₹ 42.34 - 46.67 Lakh ,4762,2819,460,1847,5.8,54,1433,160," Floret Silver, Ibis White, Mythos Black, Navarra Blue, Terra Grey ",5,1984, 188 BHP@4200 RPM,320 NM @1450 RPM,10,241 Km/h
Audi A6,"85,006",55.86 Lakh,14 kmpl ,1984 cc ,Automatic ,Petrol ,₹ 55.86 - 60.51 Lakh ,4939,2924,530,1886, - ,73,1457,165," Firmament Blue, Ibis White, Mysthos Black, Seville Red, Vesuvius Grey ",5,1984, 241 BHP@5000 RPM,370 NM @1600 RPM,10,250 Km/h
Audi S5 Sportback,"1,34,384",79.06 Lakh,11 kmpl ,2995 cc ,Automatic ,Petrol ,₹ 79.06 Lakh ,4765,2825,465,1845,5.75,58,1390,114.3," Daytona Grey Pearl, District Green, Ibis White, Mythos Black, Navara Blue, Quantum Grey, Tango Red, Turbo Blue ",5,2995, 349 BHP@5400 RPM,500 NM @1370 RPM,17,250 Km/h
Audi Q8,"1,68,243",98.98 Lakh,16 kmpl ,2995 cc ,Automatic ,Petrol ,₹ 98.98 Lakh - 1.35 Crore ,4986,2995,605,1995,6.1,85,1705,200," Argus Brown, Barrique Brown, Carrara White, Cobra Beige, Daytona Gray Pearlescent, Deep Black, Dragon Orange, Floret Silver, Galaxy Blue, Glacier White, Matador Red, Navarra Blue, Orca Black, Samurai Gray, Vicuna Beige ",7,2995, 335 BHP@5000 RPM,500 NM @1370 RPM,31,250 Km/h
