0,1,2,3,4,5,6,7,8,9,10,11,12
The Bier Library Brewery & Kitchen,Time: 12:00 PM to 01:00 AM ,"['Continental', 'Finger Food', 'North Indian']","Dineout Pay, Nightlife, Microbrewery","1,900 for two people","Pizza, Cocktails, Pasta, Craft Beer, Mocktails, Dal Makhani, Nachos","['Smoking Area', 'DJ', 'Wifi', 'Valet Available', 'Home Delivery', 'Parking', 'Cards Accepted', 'Full Bar Available', 'Outdoor Seating', 'Roof Top', 'Live Screening', 'Wallet Accepted']",715 Votes,81 Reviews,4.4,,,
Uru Brewpark,Time: 10:30 AM to 01:00 AM ,"['North Indian', 'Italian', 'Continental', 'Asian']","Dineout Pay, Microbrewery","2,000 for two people","Chicken Tikka, Pizza, Cocktails, Beer, Cheesecake, Tandoori Broccoli, Crispy Corn","['Smoking Area', 'Air Conditioned', 'Wifi', 'Valet Available', 'Parking', 'Differently Abled Friendly', 'Cards Accepted', 'Full Bar Available', 'Pet Friendly', 'Outdoor Seating', 'Live Screening', 'Wallet Accepted']",598 Votes,76 Reviews,4.4,,,
Hard Rock Cafe,Time: 12:00 PM to 01:00 AM ,"['American', 'Finger Food', 'Continental']","Dineout Pay, Nightlife","2,500 for two people","Burgers, Cocktails, Legendary Burger, Nachos, Long Island Iced Tea, Chicken Burger, Onion Rings.","['Smoking Area', 'Air Conditioned', 'Wifi', 'Valet Available', 'Home Delivery', 'Parking', 'Cards Accepted', 'Full Bar Available', 'Outdoor Seating', 'Live Screening']",370 Votes,45 Reviews,4.4,,,
Badmaash,Time: 12:00 PM to 01:00 AM ,"['North Indian', 'Chettinad', 'Andhra', 'Biryani']","Dineout Pay, Casual Dining, Nightlife","1,500 for two people",,"['Smoking Area', 'Air Conditioned', 'Lift', 'Valet Available', 'Home Delivery', 'Parking', 'Live Performance', 'Cards Accepted', 'Full Bar Available', 'Outdoor Seating']",93 Votes,9 Reviews,4.1,,,
The Bangalore Cafe,Time:  (Opens at 07:00 PM)Sunday12:00 PM to 03:30 PMSunday07:00 PM to 11:30 PMMonday12:00 PM to 03:30 PMMonday07:00 PM to 11:30 PMTuesday12:00 PM to 03:30 PMTuesday07:00 PM to 11:30 PMWednesday12:00 PM to 03:30 PMWednesday07:00 PM to 11:30 PMThursday12:00 PM to 03:30 PMThursday07:00 PM to 11:30 PMFriday12:00 PM to 03:30 PMFriday07:00 PM to 11:30 PMSaturday12:00 PM to 03:30 PMSaturday07:00 PM to 11:30 PM,"['Continental', 'North Indian', 'Fast Food']","Dineout Pay, Casual Dining",800 for two people,"Sweet Potato Soup, Lemon Coriander Spicy Soup, Tandoori Pineapple, Litti Chokha, Tawa Pulav, Wood Fire Pizza.","['Smoking Area', 'Wifi', 'Home Delivery', 'Parking', 'Differently Abled Friendly', 'Cards Accepted', 'Outdoor Seating', 'Wallet Accepted']",305 Votes,44 Reviews,4.3,,,
Toscano,Time: 12:00 PM to 11:00 PM ,['Italian'],"Dineout Pay, Casual Dining","1,600 for two people","Goat Cheese Salad, Pizza Margherita, Pepperoni Pizza, Spaghetti Aglio Olio, Tiramisu.","['Lift', 'Wifi', 'Serves Alcohol', 'Parking', 'Differently Abled Friendly', 'Cards Accepted', 'Candle Light Dinner', 'Outdoor Seating', 'Wallet Accepted']",354 Votes,27 Reviews,4.5,,,
Sanchez,Time: 11:30 AM to 10:30 PM ,['Mexican'],"Dineout Pay, Casual Dining","1,800 for two people","Sanchez Burrito Bowl, Epazote mushrooms & bell peppers, Homemade Chorizo, Burritos - Beans rice & guacamole, Chipotle chicken","['Smoking Area', 'Air Conditioned', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Roof Top', 'Live Screening']",172 Votes,11 Reviews,4.3,,,
JW Kitchen,Time: 06:30 AM to 11:00 PM ,"['North Indian', 'Continental']","5 Star, Dineout Pay, Casual Dining","2,200 for two people","Pasta, Breakfast Buffet, Lasagne, Salads, Chocolate Cake, Chicken Soup, Sunday Brunch, Dinner Buffet, Fried Chicken Burger.","['Smoking Area', 'Air Conditioned', 'Lift', 'Wifi', 'Valet Available', 'Serves Alcohol', 'Parking', 'Differently Abled Friendly', 'Live Performance', 'Cards Accepted']",704 Votes,95 Reviews,4.4,,,
Salt - Indian Restaurant Bar & Grill,Time: 11:30 AM to 10:30 PM ,"['North Indian', 'Mughlai', 'South Indian']","Dineout Pay, Casual Dining","1,200 for two people","Pappu’s Potli,Subzi Aur Quinoa Tikki, Dahi Ke Kebab, Paneer Hara Matar Tikka, Kerala Chicken Roast, Bombay Fried Chicken, Gunpowder Prawns, Charcoal Chicken Tikka, Patar Ka Gosht, Galouti Kebab, Paneer Makhani, Ras Bhari Kofta Curry, SALT’s Special Dal Makhani, Old Delhi Butter Chicken, Mutton Rogan Josh, Kozhi Melagu Curry","['Wifi', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Wallet Accepted']",,,4.5,,,
Spice Terrace,Time:  (Opens at 06:00 PM)Sunday06:00 PM to 11:30 PMMonday06:00 PM to 11:30 PMTuesday06:00 PM to 11:30 PMWednesday06:00 PM to 11:30 PMThursday06:00 PM to 11:30 PMFriday06:00 PM to 11:30 PMSaturday06:00 PM to 11:30 PM,"['North Indian', 'Mughlai']","5 Star, Dineout Pay, Casual Dining","3,900 for two people","Chicken Tikka, Sea Food, Vegetable Biryani, Faluda, Lamb, Tarkari Biryani, Cocktails","['Smoking Area', 'Air Conditioned', 'Wifi', 'Valet Available', 'Parking', 'Differently Abled Friendly', 'Live Performance', 'Cards Accepted', 'Full Bar Available', 'Outdoor Seating', 'Poolside', 'Roof Top']",113 Votes,23 Reviews,4.2,,,
